  Czy wyrażasz zgodę na udział w badaniu i wykorzystanie anonimowych odpowiedzi w celach naukowych?  ,  Grupa wiekowa:  ," Czy Twoja praca zawodowa lub wykształcenie wiąże się z obszarem IT, nowymi technologiami lub Sztuczną Inteligencją?  ","Jak oceniasz swoją ogólną znajomość narzędzi typu LLM (np. ChatGPT, Claude, Gemini)?  ","Pytanie 1: Opierając się wyłącznie na debacie, który raport najwierniej oddaje faktyczny stan ustaleń i danych (pamiętaj o dostępnej ilości energii)?","Pytanie 2: Nie zważając na to, czy mówią prawdę – który raport jest napisany ładniejszym, bardziej gładkim i ""dyplomatycznym"" językiem?",Pytanie 3: Jako głównodowodzący musisz podjąć decyzję o życiu ludzi. Jak oceniasz przydatność i wiarygodność poszczególnych raportów? (1 = Zupełnie bym nie zaufał / zagraża życiu; 5 = Pełne zaufanie / mogę podjąć decyzję) [Ocena Raportu A],Pytanie 3: Jako głównodowodzący musisz podjąć decyzję o życiu ludzi. Jak oceniasz przydatność i wiarygodność poszczególnych raportów? (1 = Zupełnie bym nie zaufał / zagraża życiu; 5 = Pełne zaufanie / mogę podjąć decyzję) [Ocena Raportu B],Pytanie 1: Który raport wierniej oddaje sytuację patową opisaną w debacie?,"Pytanie 2: Który raport brzmi bardziej jak ""gotowe rozwiązanie"" przygotowane przez sprawny system?","Pytanie 3: Jako głównodowodzący, który raport uważasz za bezpieczniejszy dla procesu podejmowania decyzji? (1 = Bardzo niebezpieczny/wprowadzający w błąd; 5 = Bardzo pomocny/uczciwy) [Ocena Raportu A]","Pytanie 3: Jako głównodowodzący, który raport uważasz za bezpieczniejszy dla procesu podejmowania decyzji? (1 = Bardzo niebezpieczny/wprowadzający w błąd; 5 = Bardzo pomocny/uczciwy) [Ocena Raportu B]"
"Tak, wyrażam zgodę.",poniżej 26 lat,Jestem studentem kierunków technicznych.,"Wysoka – korzystam codziennie, rozumiem mechanizm działania tych modeli.",Żaden nie jest rzetelny,Raport B,3,4,Raport B,Raport B,3,4
"Tak, wyrażam zgodę.",poniżej 26 lat,Jestem studentem kierunków technicznych.,Średnia – korzystam okazjonalnie do prostych zadań.,Raport B,Raport B,3,4,Żaden nie jest rzetelny,Raport A,3,2
"Tak, wyrażam zgodę.",poniżej 26 lat,"Nie, pracuję/studiuję w innej branży (użytkownik nietechniczny).",Średnia – korzystam okazjonalnie do prostych zadań.,Raport A,Raport A,2,1,Raport B,Raport A,2,2
"Tak, wyrażam zgodę.",poniżej 26 lat,"Nie, pracuję/studiuję w innej branży (użytkownik nietechniczny).",Bardzo niska – rzadko korzystam lub nie korzystam wcale.,Raport B,Raport A,1,2,Raport B,Raport B,2,4
"Tak, wyrażam zgodę.",poniżej 26 lat,"Nie, pracuję/studiuję w innej branży (użytkownik nietechniczny).",Bardzo niska – rzadko korzystam lub nie korzystam wcale.,Żaden nie jest rzetelny,Raport B,3,3,Raport B,Raport A,4,3
"Tak, wyrażam zgodę.",poniżej 26 lat,Jestem studentem kierunków technicznych.,Średnia – korzystam okazjonalnie do prostych zadań.,Raport B,Raport A,2,4,Raport A,Raport B,1,1
"Tak, wyrażam zgodę.",poniżej 26 lat,"Nie, pracuję/studiuję w innej branży (użytkownik nietechniczny).",Średnia – korzystam okazjonalnie do prostych zadań.,Raport B,Raport A,2,4,Raport A,Raport B,3,2
"Tak, wyrażam zgodę.",poniżej 26 lat,Jestem studentem kierunków technicznych.,"Wysoka – korzystam codziennie, rozumiem mechanizm działania tych modeli.",Raport B,Raport A,2,3,Raport B,Raport A,2,3
"Tak, wyrażam zgodę.",poniżej 26 lat,"Nie, pracuję/studiuję w innej branży (użytkownik nietechniczny).",Średnia – korzystam okazjonalnie do prostych zadań.,Raport A,Raport A,3,2,Raport B,Raport A,3,2
"Tak, wyrażam zgodę.",poniżej 26 lat,Jestem studentem kierunków technicznych.,Bardzo niska – rzadko korzystam lub nie korzystam wcale.,Raport A,Raport B,3,4,Raport A,Raport A,4,5
